library,Keyword,ML_Category,Link
transformers,.backward(,Producer,https://huggingface.co/transformers/v3.0.2/training.html
trax,.train_rl(,Producer,https://trax-ml.readthedocs.io/en/latest/trax.html#trax.rl_trainer.train_rl
trax,.run(,Producer,https://trax-ml.readthedocs.io/en/latest/trax.supervised.html#trax.supervised.training.Loop.run
vulcanai,.fit(,Producer,https://vulcanai.readthedocs.io/en/latest/vulcanai.models.html#vulcanai.models.basenetwork.BaseNetwork.fit
xgboost,.fit(,Producer,https://xgboost.readthedocs.io/en/stable/tutorials/rf.html
xgboost,train(,Producer,https://xgboost.readthedocs.io/en/stable/tutorials/rf.html
xgboost_ray,train(,Producer,https://github.com/ray-project/xgboost_ray
xgboost_ray,.fit(,Producer,https://github.com/ray-project/xgboost_ray
ztlearn,.fit(,Producer,https://zeta-learn.com/source/ztlearn.dl.models.html?highlight=train#module-ztlearn.dl.models.trainer
ztlearn,.train_on_batch(,Producer,https://zeta-learn.com/source/ztlearn.dl.models.html?highlight=train#module-ztlearn.dl.models.trainer
