ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
chakki-works/chariot,ID1,Applied,122,5883,9,86.0,5,2419,0.0422812192723697,5.0
vc1492a/PyNomaly,ID1,Applied,302,35776,36,156.0,5,2806,0.0613207547169811,5.0
jx1100370217/DFCNN-master,ID1,Applied,74,22790,16,16.0,1,2330,0.0078201368523949,1.0
chainer/chainercv,ID1,Applied,1477,5877,306,4930.0,30,2901,1.8674242424242424,34.0
chainer/onnx-chainer,ID1,Applied,85,1237,24,930.0,15,2620,0.4161073825503356,15.0
davidhaohanli/Abnormal-Behaviour-Detection,ID1,Applied,25,199974,15,116.0,1,2644,0.0548982489351632,1.0
Chicoryn/dream-go,ID1,Applied,47,4967,8,634.0,2,2643,0.2752930959617889,2.0
DuaneNielsen/DeepInfomaxPytorch,ID1,Applied,314,397,47,14.0,1,2292,0.0069860279441117,1.0
POSTECH-IMLAB/LaneSegmentationNetwork,ID1,Applied,94,31973,50,57.0,2,2253,0.0288315629742033,2.0
the-house-of-black-and-white/morghulis,ID1,Applied,17,9877,9,103.0,2,2593,0.0523373983739837,2.0
ranjiewwen/TF_EnhanceDPED,ID1,Applied,17,7206,3,27.0,1,2213,0.0146262188515709,1.0
ranjiewwen/TF_NIMA,ID1,Applied,19,5422,7,13.0,1,2152,0.0075801749271137,1.0
jasonlaska/spherecluster,ID1,Applied,326,1677,75,159.0,2,3107,0.0562234794908062,2.0
pavlin-policar/openTSNE,ID1,Applied,1361,73591,156,691.0,10,2421,0.3213953488372093,11.0
markovmodel/molPX,ID1,Applied,39,28876,2,574.0,4,2962,0.2131451912365392,4.0
markovmodel/deeptime,ID1,Applied,171,2692,40,46.0,3,2621,0.0195661420672054,3.0
MauryaRitesh/Facial-Expression-Detection-V2,ID1,Applied,23,1880,24,14.0,1,2154,0.0083184789067142,1.0
iArunava/ENet-Real-Time-Semantic-Segmentation,ID1,Applied,274,13593,81,107.0,2,2200,0.0561974789915966,2.0
danieldk/sticker,ID1,Applied,25,1189,2,206.0,4,2169,0.1312101910828025,4.0
yashbonde/transformer_network_tensorflow,ID1,Applied,16,1101,7,24.0,1,2378,0.0210896309314587,1.0
zfgao66/deeplearning-mpo,ID1,Applied,28,79,9,48.0,1,2191,0.0271339739966082,1.0
mesnico/RelationNetworks-CLEVR,ID1,Applied,85,3862,26,94.0,2,2614,0.041282389108476,2.0
kauziishere/lowLightImageEnhancement,ID1,Applied,24,20,7,11.0,2,2285,0.0055027513756878,2.0
natanielruiz/deep-head-pose,ID1,Applied,1524,221232,365,120.0,2,2612,0.0510421097405359,2.0
drawbridge/keras-mmoe,ID1,Applied,676,9556,220,22.0,3,2327,0.0107212475633528,3.0
keunwoochoi/dl4mir,ID1,Applied,236,2015,37,39.0,2,2810,0.0153543307086614,2.0
apacha/MusicScoreClassifier,ID1,Applied,17,117,9,113.0,1,2837,0.0440202571094663,1.0
JingqingZ/BaiduTraffic,ID1,Applied,220,42316,81,87.0,2,2565,0.0379746835443038,2.0
JingqingZ/KG4ZeroShotText,ID1,Applied,47,1797,12,128.0,2,2144,0.0727686185332575,2.0
Merck/deepbgc,ID1,Applied,117,26579,26,164.0,6,2229,0.0836734693877551,6.0
YU1ut/MixMatch-pytorch,ID1,Applied,621,21,126,20.0,5,2073,0.0110375275938189,5.0
jungtaekkim/bayeso,ID1,Applied,89,5438,7,592.0,1,2612,0.2520221370796083,1.0
JeanKossaifi/tensorly-notebooks,ID1,Applied,418,2927,125,61.0,8,2728,0.0250925545043192,8.0
agakshat/visualdialog-pytorch,ID1,Applied,14,303,2,17.0,1,2456,0.0086602139582272,1.0
sld/supervised-embedding-model,ID1,Applied,15,56,9,30.0,1,2881,0.0131752305665349,1.0
cytadela8/trypophobia,ID1,Applied,28,113268,2,112.0,4,2698,0.0468619246861924,4.0
olpotkin/DNN-Gesture-Classifier,ID1,Applied,8,54400,3,51.0,1,2687,0.0212146422628951,1.0
sahilbadyal/language-detection-speech-using-dnn,ID1,Applied,9,60,3,25.0,1,2467,0.0145095763203714,1.0
huggingface/neuralcoref,ID1,Applied,2809,69454,474,116.0,18,2761,0.0464,18.0
AVBelyy/Rysearch,ID1,Applied,13,1732,2,227.0,2,2891,0.1243835616438356,2.0
js3611/Deep-MRI-Reconstruction,ID1,Applied,309,57641,104,16.0,1,2795,0.0063216120110628,1.0
castorini/hedwig,ID1,Applied,586,24475,125,269.0,16,2146,0.1431612559872272,16.0
kashif/firedup,ID1,Applied,141,155,24,90.0,1,2251,0.0456852791878172,1.0
wikipedia2vec/wikipedia2vec,ID1,Applied,920,2530,101,333.0,5,3377,0.1072809278350515,5.0
shayneobrien/coreference-resolution,ID1,Applied,185,86987,61,84.0,3,2456,0.0386206896551724,3.0
lucidrains/reformer-pytorch,ID2,Applied,2058,36190,256,249.0,11,1841,0.1578947368421052,11.0
AntiAegis/Face-Attendance-System,ID1,Applied,63,241210,25,149.0,6,2329,0.0734351897486446,6.0
yifita/3PU,ID1,Applied,164,6703,23,21.0,1,2250,0.010752688172043,1.0
yifita/3PU_pytorch,ID1,Applied,75,392,9,57.0,1,2205,0.0295031055900621,1.0
AFAgarap/gru-svm,ID1,Applied,144,102729,37,382.0,2,2814,0.1512272367379255,2.0
AFAgarap/cnn-svm,ID2,Applied,339,66198,127,115.0,2,2605,0.0491663103890551,2.0
yogeshbalaji/Generate_To_Adapt,ID1,Applied,140,15,33,12.0,1,2493,0.0056925996204933,1.0
luopeixiang/named_entity_recognition,ID1,Applied,2043,29560,534,10.0,1,2135,0.0053361792956243,1.0
Xilinx/graffitist,ID1,Applied,168,2137,34,10.0,2,2158,0.0056306306306306,2.0
manideep2510/melanoma_segmentation,ID1,Applied,52,103900,21,25.0,1,2485,0.0112663361874718,1.0
manideep2510/eye-in-the-sky,ID1,Applied,293,167885,83,95.0,3,2242,0.0480526049570055,3.0
DragonComputer/Dragonfire,ID1,Applied,1379,25246,209,722.0,16,3201,0.2460804362644853,16.0
MG2033/MobileNet,ID1,Applied,129,15624,43,35.0,2,2680,0.0147244425746739,2.0
pawni/BayesByHypernet,ID1,Applied,65,15078,16,11.0,1,2638,0.0048823790501553,1.0
AICoE/prometheus-anomaly-detector,ID2,Applied,581,9653,141,158.0,13,2080,0.0870044052863436,13.0
conan7882/neural-style,ID1,Applied,6,14668,1,57.0,1,2643,0.1108949416342412,1.0
conan7882/triplet-loss,ID1,Applied,11,4116,1,25.0,1,2176,0.0197628458498023,1.0
yoonholee/MT-net,ID1,Applied,38,229,8,13.0,1,2423,0.0060747663551401,1.0
JustAnOwlz/Face-Denoising,ID1,Applied,6,167525,4,20.0,5,2226,0.039447731755424,5.0
dmbee/seglearn,ID1,Applied,564,19553,64,283.0,12,2516,0.1260579064587973,12.0
knazeri/edge-connect,ID1,Applied,2476,1376,526,116.0,4,2230,0.0590330788804071,4.0
dgriffiths3/ml_segmentation,ID1,Applied,94,5186,27,15.0,1,2334,0.0074331020812685,1.0
shubham0704/parallelGSO,ID1,Applied,14,12755,1,56.0,2,2539,0.025842178126442,2.0
j05t/emnist,ID1,Applied,43,472557,21,107.0,1,2668,0.0452622673434856,1.0
upul/Semantic_Segmentation,ID1,Applied,59,2321,30,40.0,1,2731,0.0170502983802216,1.0
LeslieZhoa/tensorflow-YOLO1,ID1,Applied,135,2326,47,15.0,1,2265,0.0075987841945288,1.0
logictensornetworks/logictensornetworks,ID1,Applied,253,3498,48,73.0,4,2392,0.0342723004694835,4.0
RBirkeland/MVCNN-PyTorch,ID1,Applied,96,30,32,33.0,2,2445,0.0155880963627775,2.0
lsa-pucrs/acerta-abide,ID1,Applied,44,895,25,79.0,4,3500,0.02440531356194,4.0
naiveHobo/InvoiceNet,ID1,Applied,2395,46027,381,67.0,8,2398,0.0313523631258774,8.0
danielzuegner/nettack,ID1,Applied,217,497,55,14.0,1,2426,0.0065913370998116,1.0
danielzuegner/netgan,ID1,Applied,186,49811,63,28.0,2,2431,0.0135265700483091,2.0
mdfirman/CityNet,ID1,Applied,27,56848,5,248.0,4,3443,0.0805717998700454,4.0
CVLAB-Unibo/Semantic-Mono-Depth,ID1,Applied,108,3296,28,12.0,2,2285,0.0060944641950228,2.0
WMD-group/SMACT,ID1,Applied,75,12084,21,1218.0,15,4098,0.3174354964816263,16.0
celarex/STS-CNN-STSbenchmark-Semantic-Similarity-Semantic-Textual-Similarity-CNN-HCTI-Tensorflow-Keras,ID1,Applied,29,430,7,33.0,2,2403,0.0168539325842696,2.0
DrGFreeman/rps-cv,ID1,Applied,111,18880,28,74.0,2,2665,0.0311447811447811,2.0
BorgwardtLab/P-WL,ID1,Applied,58,170515,15,401.0,2,2284,0.2090719499478623,2.0
mengrang/DFL-CNN-tensorflow,ID1,Applied,74,213,17,95.0,1,2326,0.0567502986857825,1.0
henriquepgomide/caRtola,ID1,Applied,441,227739,254,704.0,8,3166,0.2423407917383821,9.0
vineetjohn/linguistic-style-transfer,ID1,Applied,136,60424,33,443.0,2,2547,0.1974153297682709,2.0
y2l/social-relation-tensorflow,ID1,Applied,24,5024,5,78.0,1,2245,0.0482673267326732,1.0
aqlaboratory/rgn,ID1,Applied,326,36414,89,70.0,2,2509,0.0314606741573033,2.0
mozilla/DeepSpeech,ID2,Applied,24354,50568,3876,3466.0,30,3157,1.1968232044198894,132.0
mozilla/bugbug,ID1,Applied,487,8409,308,5691.0,30,2509,2.534966592427617,109.0
datmo/datmo,ID1,Applied,345,4157,30,1051.0,5,2638,0.4449618966977138,5.0
samkit-jain/Handwriting-Recognition,ID1,Applied,59,808,24,56.0,1,2971,0.0207792207792207,1.0
sethah/deeptennis,ID1,Applied,40,17817,5,87.0,2,2332,0.0422535211267605,2.0
andreasvc/disco-dop,ID1,Applied,45,7627,16,1432.0,5,5065,0.3140350877192982,5.0
baldassarreFe/deep-koalarization,ID2,Applied,409,33964,79,154.0,4,2858,0.0599221789883268,4.0
anicolson/DeepXi,ID1,Applied,486,520908,125,425.0,2,2435,0.1957623215108245,2.0
rk2900/DRSA,ID1,Applied,134,9861,57,74.0,3,2539,0.0329181494661921,3.0
rk2900/DLF,ID1,Applied,64,2225,16,18.0,2,2090,0.0102272727272727,2.0
mnicnc404/CartoonGan-tensorflow,ID1,Applied,893,354243,243,343.0,3,2168,0.1798636601992658,3.0
GavinHacker/recsys_core,ID1,Applied,303,157,80,23.0,2,2185,0.0120798319327731,2.0
rgal/gym-2048,ID1,Applied,68,322,20,456.0,2,2985,0.1693907875185735,2.0
himanshurawlani/practical_intro_to_tf2,ID1,Applied,55,46028,22,15.0,1,2146,0.0114766641162968,1.0
ibrahimsharaf/doc2vec,ID1,Applied,104,13292,43,29.0,5,2879,0.0111324376199616,5.0
undertheseanlp/ner,ID1,Applied,49,109752,17,130.0,1,2799,0.0516077808654227,1.0
undertheseanlp/word_tokenize,ID1,Applied,46,29934,25,234.0,3,2880,0.0956663941128372,3.0
YangZeyu95/unofficial-implement-of-openpose,ID1,Applied,271,18127,80,88.0,2,2254,0.0457142857142857,2.0
AuCson/PyTorch-Batch-Attention-Seq2seq,ID1,Applied,277,17,49,20.0,1,2698,0.0082508250825082,1.0
marooncn/Defect-Detection-Classifier,ID1,Applied,119,22795,49,91.0,2,2420,0.0425233644859813,2.0
kaushalshetty/Structured-Self-Attention,ID1,Applied,493,504,109,22.0,1,2548,0.0099143758449752,1.0
QuantumTCode/FIRST-MLWorkshop,ID1,Applied,7,13420,5,38.0,2,2464,0.0184645286686103,2.0
mattn/mruby-tflite,ID1,Applied,15,41,3,31.0,4,2108,0.0218309859154929,4.0
PIQuIL/QuCumber,ID1,Applied,170,150300,30,1101.0,14,2453,0.5213068181818182,14.0
RandolphVI/Next-Basket-Recommendation,ID1,Applied,47,26,18,18.0,1,2281,0.0099447513812154,1.0
YonghaoXu/SEANet,ID1,Applied,100,267,12,26.0,1,2198,0.0139559849704777,1.0
niquejoe/Classification-of-Depression-on-Social-Media-Using-Text-Mining,ID1,Applied,67,6052,36,68.0,1,2367,0.0338476854156296,1.0
JAIJANYANI/Automated-Resume-Screening-System,ID1,Applied,403,5794,198,57.0,14,2495,0.0255605381165919,14.0
pyaf/load_forecasting,ID1,Applied,464,21285,154,70.0,1,2561,0.0304480208786428,1.0
ksopyla/tensorflow-mnist-convnets,ID1,Applied,23,2561,22,21.0,1,2885,0.0084745762711864,1.0
ksopyla/svm_mnist_digit_classification,ID1,Applied,270,69,102,24.0,1,3228,0.0080889787664307,1.0
kjaisingh/march-madness-2019,ID1,Applied,35,23507,6,42.0,1,2158,0.0227642276422764,1.0
ZhixiuYe/NER-pytorch,ID1,Applied,299,991,103,21.0,1,2675,0.0087427144046627,1.0
agusgun/FakeImageDetector,ID1,Applied,173,22039,70,20.0,2,2337,0.0096665055582406,2.0
iesl/Distributional-Inclusion-Vector-Embedding,ID1,Applied,15,118576,0,10.0,1,2521,0.0069013112491373,1.0
LinLidi/StockSensation,ID1,Applied,308,5421,114,99.0,1,2419,0.0461323392357875,1.0
chizhanyuefeng/FD-CNN,ID1,Applied,62,209094,32,301.0,3,2555,0.132716049382716,3.0
GuitarsAI/BasicsMusicalInstrumClassifi,ID1,Applied,28,14453,12,86.0,1,2266,0.0446289569278671,1.0
earhian/Humpback-Whale-Identification-1st-,ID1,Applied,641,9893,184,34.0,0,2155,0.0178759200841219,1.0
philomathic-guy/Malicious-Web-Content-Detection-Using-Machine-Learning,ID1,Applied,220,2203,74,221.0,3,2932,0.0828335832083958,3.0
hassyGo/NLG-RL,ID1,Applied,71,50,8,35.0,0,2339,0.0167144221585482,1.0
Originate/dbg-pds-tensorflow-demo,ID1,Applied,101,4965,46,40.0,2,2445,0.018735362997658,2.0
AhmetHamzaEmra/Intelegent_Lock,ID1,Applied,176,225544,59,24.0,1,2624,0.0102345415778251,1.0
apayne19/DoubleAuctionMarket,ID1,Applied,36,14349,11,107.0,4,2681,0.0478319177469825,4.0
hanranCode/ImageDT,ID1,Applied,10,244,5,89.0,3,2431,0.0542682926829268,3.0
for-ai/rl,ID1,Applied,94,9956,20,62.0,7,2122,0.0333512641204948,7.0
omurammm/apex_dqn,ID1,Applied,17,61,0,21.0,1,2253,0.0120759056929269,1.0
kentsyx/Neural-IMage-Assessment,ID1,Applied,496,14560,92,70.0,2,2532,0.0308778120864578,2.0
felixriese/susi,ID1,Applied,102,3831,21,230.0,1,2130,0.1237224314147391,1.0
xingyul/flownet3d,ID1,Applied,357,133,83,34.0,3,2110,0.0184883088635127,3.0
dfdazac/wassdistance,ID1,Applied,444,390,56,12.0,1,2158,0.0063357972544878,1.0
richardwth/MMD-GAN,ID1,Applied,84,28223,19,236.0,1,2407,0.1167161226508407,1.0
perseus784/BvS,ID1,Applied,52,25378,22,82.0,2,2715,0.0401567091087169,2.0
qian135/ctr_model_zoo,ID1,Applied,69,30,14,15.0,1,2135,0.0080042689434365,1.0
mikacuy/pointnetvlad,ID1,Applied,341,625,71,38.0,1,2505,0.0170403587443946,1.0
ankanbhunia/AdverseBiNet,ID1,Applied,38,1434,9,27.0,1,2283,0.0146500271296798,1.0
gadiluna/SAFE,ID1,Applied,164,178,41,30.0,3,2262,0.0151591712986356,3.0
lijx10/SO-Net,ID1,Applied,338,67,82,18.0,4,2521,0.0080393032603841,4.0
guotong1988/BERT-multi-gpu,ID1,Applied,171,199,54,98.0,1,2221,0.0504634397528321,1.0
guotong1988/Chinese-NER-joint-intent,ID1,Applied,12,27357,1,20.0,1,2194,0.0107238605898123,1.0
CLUEbenchmark/CLUE,ID2,Applied,3836,2779,540,527.0,20,1889,0.3237100737100737,20.0
yanx27/DuReader_QANet_BiDAF,ID1,Applied,36,75321,8,61.0,1,2241,0.0355270821199767,1.0
ShawnyXiao/TextClassification-Keras,ID1,Applied,818,1965,187,27.0,2,2212,0.0139679255043973,2.0
coxy1989/superconv,ID1,Applied,8,708,0,29.0,1,2206,0.0315560391730141,1.0
km1414/CNN-models,ID1,Applied,36,57911,15,45.0,1,2604,0.0193631669535284,1.0
neurodata/graspy,ID1,Applied,520,635743,127,839.0,30,2330,0.4055099081681972,54.0
wotchin/SmooFaceEngine,ID1,Applied,108,34798,54,40.0,2,2467,0.018796992481203,2.0
zhengyang-wang/3D-Unet--Tensorflow,ID1,Applied,194,361,97,26.0,1,2376,0.0122989593188268,1.0
fabiotosi92/CCNN-Tensorflow,ID1,Applied,23,6071,9,24.0,2,2537,0.0113744075829383,2.0
fabiotosi92/monoResMatch-Tensorflow,ID1,Applied,116,2751,20,10.0,2,2123,0.005515719801434,2.0
yao8839836/text_gcn,ID1,Applied,1339,882199,434,59.0,2,2327,0.0285575992255566,2.0
santhoshkolloju/Abstractive-Summarization-With-Transfer-Learning,ID1,Applied,403,807,101,31.0,2,2184,0.016120644825793,2.0
GianlucaPaolocci/Sound-classification-on-Raspberry-Pi-with-Tensorflow,ID1,Applied,91,394,29,79.0,1,2774,0.0316760224538893,1.0
seasonSH/Probabilistic-Face-Embeddings,ID1,Applied,335,37010,56,21.0,1,2107,0.0114691425450573,1.0
winterdelta/KeplerAI,ID1,Applied,39,623,10,29.0,1,2853,0.0114173228346456,1.0
Helsinki-NLP/HBMP,ID1,Applied,77,6000,16,41.0,1,2355,0.0202369200394866,1.0
klicperajo/ppnp,ID1,Applied,315,9328,55,48.0,1,2164,0.0255047821466524,1.0
atulkum/pointer_summarizer,ID1,Applied,896,1130,245,94.0,1,2474,0.0425917535115541,1.0
sergeytulyakov/mocogan,ID1,Applied,560,85290,113,21.0,4,2765,0.008505467800729,4.0
CharlesPikachu/AIGames,ID1,Applied,585,684671,187,90.0,1,2350,0.0432900432900432,1.0
tryingsomestuff/Minic,ID1,Applied,88,8272,12,2363.0,1,2293,1.164039408866995,1.0
HazyResearch/fonduer,ID1,Applied,402,12036,76,1397.0,12,2547,0.6186891054030115,12.0
nanoporetech/medaka,ID2,Applied,381,65040,72,1424.0,16,2787,0.5639603960396039,16.0
thushv89/attention_keras,ID1,Applied,441,338,268,52.0,1,2140,0.0279870828848223,1.0
songyouwei/ABSA-PyTorch,ID1,Applied,1957,3887,514,87.0,11,2451,0.0397260273972602,11.0
rock-learning/bolero,ID1,Applied,61,8562,29,957.0,12,2814,0.3844917637605464,12.0
snipsco/snips-nlu-metrics,ID1,Applied,13,261,16,286.0,5,2751,0.1549295774647887,5.0
EteRNAgame/EternaBrain,ID1,Applied,19,116891,11,383.0,5,2958,0.145461450816559,5.0
MerceaOtniel/AlphaZero,ID1,Applied,11,201392,4,283.0,13,2263,0.144683026584867,13.0
MiguelMonteiro/CRFasRNNLayer,ID1,Applied,82,2525,20,28.0,1,2512,0.0125223613595706,1.0
jatana-research/Text-Classification,ID1,Applied,238,4211,104,22.0,2,2394,0.010377358490566,2.0
topazape/LSTM_Chem,ID1,Applied,116,438405,55,80.0,3,2470,0.0364963503649635,3.0
nianticlabs/monodepth2,ID1,Applied,3984,10520,946,35.0,4,2093,0.0191048034934497,4.0
Hyperparticle/udify,ID1,Applied,217,968,54,41.0,5,2122,0.022367703218767,5.0
Hyperparticle/LemmaTag,ID1,Applied,34,776,4,39.0,1,2384,0.0209003215434083,1.0
digantamisra98/Mish,ID2,Applied,1276,193868,129,2767.0,4,2085,1.5169956140350878,4.0
a-martyn/ISL-python,ID1,Applied,272,67659,115,55.0,1,2276,0.0274862568715642,1.0
brandonrobertz/artificial_seinfeld,ID1,Applied,13,910,1,74.0,2,2943,0.0280409245926487,2.0
malllabiisc/ConfGCN,ID1,Applied,57,10520,16,14.0,3,2216,0.0076460950300382,3.0
malllabiisc/NeuralDater,ID1,Applied,61,256,15,39.0,3,2451,0.0201030927835051,3.0
malllabiisc/WordGCN,ID1,Applied,288,5314,64,58.0,5,2078,0.0322401334074485,5.0
malllabiisc/RESIDE,ID1,Applied,247,5850,48,108.0,5,2354,0.0548501777552056,5.0
amobiny/Capsule_Network_Tensorflow,ID1,Applied,9,176902,4,20.0,2,2572,0.0089007565643079,2.0
nathan-toubiana/scitime,ID1,Applied,123,495102,12,514.0,3,2361,0.248910411622276,3.0
aashutoshrathi/vision,ID1,Applied,28,103674,5,18.0,3,2391,0.0096359743040685,3.0
pescadores/pescador,ID1,Applied,75,602,12,466.0,8,4048,0.1237058667374568,8.0
KieranLitschel/PredictingClosingPriceTomorrow,ID1,Applied,24,187402,15,597.0,2,2414,0.3055271238485159,2.0
rufinv/VAE-GAN-CelebA,ID1,Applied,45,29,23,27.0,1,2190,0.0142630744849445,1.0
mfbalin/Concrete-Autoencoders,ID1,Applied,110,365,31,20.0,2,2189,0.0104384133611691,2.0
Pyrofoux/Drowsy,ID1,Applied,21,210237,0,55.0,1,2149,0.0303197353914002,1.0
Unity-Technologies/obstacle-tower-env,ID1,Applied,540,3085,125,153.0,9,2256,0.0782208588957055,9.0
Unity-Technologies/marathon-envs,ID2,Applied,292,239944,50,408.0,7,2345,0.1965317919075144,7.0
polo8214/Brain-tumor-segmentation-using-deep-learning,ID1,Applied,54,820,29,14.0,1,2586,0.0060790273556231,1.0
hijkzzz/fast-neural-style-transfer,ID1,Applied,71,12835,3,48.0,1,2831,0.0210896309314587,1.0
hijkzzz/reinforcement-learning-wechat-jump,ID1,Applied,91,5773,2,139.0,1,2423,0.0648320895522388,1.0
ZainNasrullah/music-artist-classification-crnn,ID1,Applied,76,3693,18,31.0,2,2201,0.0160955347871235,2.0
EvgenyKashin/SRMnet,ID1,Applied,80,5332,7,23.0,1,2070,0.012870733072188,1.0
Daya-Jin/ML_for_learner,ID1,Applied,86,8307,46,98.0,1,2226,0.0508035251425609,1.0
hsokooti/RegNet,ID1,Applied,190,2810,50,89.0,1,2573,0.0386284722222222,1.0
lingtengqiu/Deeperlab-pytorch,ID1,Applied,138,1553,27,26.0,1,2159,0.0138297872340425,1.0
ziqizhang/chase,ID1,Applied,31,34513,19,265.0,2,2782,0.1146193771626297,2.0
appeler/ethnicolr,ID1,Applied,224,132276,66,327.0,13,2797,0.1291469194312796,13.0
vzhou842/cnn-from-scratch,ID1,Applied,256,16,96,16.0,1,2073,0.0088300220750551,1.0
vwxyzjn/cleanrl,ID2,Applied,4518,139474,530,827.0,30,2057,0.460467706013363,36.0
ironmussa/Optimus,ID1,Applied,1446,115257,234,6411.0,22,2751,2.579879275653924,22.0
RhythmJnh/TF_SMPL,ID1,Applied,62,21992,10,11.0,1,2205,0.0058417419012214,1.0
zotroneneis/deep_music,ID1,Applied,11,86853,4,14.0,2,2734,0.0081159420289855,2.0
JRC1995/Abstractive-Summarization,ID1,Applied,166,338,59,92.0,1,2668,0.0388513513513513,1.0
TobiasLee/MTA-LSTM-TensorFlow,ID1,Applied,70,43,24,16.0,0,2277,0.0080361627322953,1.0
Seanforfun/GMAN_Net_Haze_Removal,ID1,Applied,39,585589,21,121.0,2,2565,0.0540178571428571,2.0
vinayakumarr/Network-Intrusion-Detection,ID1,Applied,629,28,233,14.0,1,2562,0.0060843111690569,1.0
ternaus/angiodysplasia-segmentation,ID1,Applied,78,319261,29,236.0,4,2492,0.1069324875396465,4.0
Nikronic/CoarseNet,ID1,Applied,25,10504,2,95.0,2,2259,0.0483460559796437,2.0
jing-vision/lightnet,ID1,Applied,102,5578,26,384.0,1,2469,0.180961357210179,1.0
mirapy-org/mirapy,ID1,Applied,44,872,10,205.0,2,2122,0.1114130434782608,2.0
cosimoiaia/Tensorflow-Chatbot-Italian,ID1,Applied,13,626,4,17.0,1,2817,0.0075757575757575,1.0
zhaoyingjun/chatbot,ID1,Applied,3460,79315,1020,102.0,1,2572,0.0441558441558441,1.0
linchuming/ImageSR-Tensorflow,ID1,Applied,11,4874,2,22.0,1,2394,0.025943396226415,1.0
AhmedImtiazPrio/Keras-AudioDataGenerator,ID1,Applied,48,153,8,32.0,2,2489,0.017897091722595,2.0
ngchc/deepBoosting,ID1,Applied,53,958940,13,16.0,1,2128,0.0091116173120728,1.0
Mogeng/IOHMM,ID1,Applied,153,1086,34,83.0,3,3268,0.0282505105513955,3.0
mjpyeon/wavenet-classifier,ID1,Applied,63,13,12,10.0,1,2495,0.004492362982929,1.0
BATspock/PathProjection,ID1,Applied,5,623,1,20.0,3,2130,0.0109349371241115,3.0
White-Link/UnsupervisedScalableRepresentationLearningTimeSeries,ID1,Applied,385,3068,89,24.0,4,2187,0.0124675324675324,4.0
sharavsambuu/mongolian-text-classification,ID1,Applied,33,39595,10,194.0,2,2515,0.0879419764279238,2.0
dcgym/iroko,ID1,Applied,64,28141,22,160.0,2,2246,0.0847457627118644,2.0
hellochick/Indoor-segmentation,ID1,Applied,128,2855,43,20.0,1,2687,0.0082815734989648,1.0
Pay20Y/FOTS_TF,ID1,Applied,181,3436,59,34.0,1,2139,0.018348623853211,1.0
moxiegushi/pokeGAN,ID1,Applied,130,182307,40,12.0,1,2757,0.0048800325335502,1.0
pfnet-research/chainer-trt,ID1,Applied,34,1007,6,46.0,2,2250,0.0231971759959657,2.0
tracek/audio-explorer,ID1,Applied,22,7398,4,348.0,1,2161,0.1912087912087912,1.0
bfortuner/pytorch_tiramisu,ID1,Applied,308,9028,65,55.0,3,2855,0.021309569934134,3.0
capergroup/bayou,ID1,Applied,276,463391,81,709.0,6,2820,0.2811260904044409,6.0
Apm5/tensorflow_2.0_example,ID1,Applied,5,48,4,21.0,1,2110,0.0638297872340425,1.0
hedrox/ecg-classification,ID1,Applied,55,26,20,25.0,2,3012,0.0091374269005847,2.0
nouhadziri/THRED,ID1,Applied,111,154,25,15.0,3,2268,0.0077439339184305,3.0
amoudgl/pygoturn,ID1,Applied,134,31031,36,129.0,2,2691,0.0539748953974895,2.0
kenlimmj/fightin-words,ID1,Applied,11,11,3,12.0,1,3160,0.0041608876560332,1.0
darribas/satellite_led_liverpool,ID1,Applied,15,3648,9,20.0,1,2881,0.0076745970836531,1.0
acht7111020/ADLxMLDS2017,ID1,Applied,9,29504,5,14.0,2,2523,0.0080645161290322,2.0
slanglab/freq-e,ID1,Applied,14,4824,1,59.0,2,2187,0.0431918008784773,2.0
sksq96/pytorch-summary,ID1,Applied,3959,44,412,57.0,10,2467,0.0258620689655172,10.0
RanchMobile/Tamil-AI,ID1,Applied,19,1742,7,53.0,1,2591,0.0237455197132616,1.0
nutonomy/nuscenes-devkit,ID2,Applied,2122,5288,611,231.0,30,2331,0.1115942028985507,35.0
ubclaunchpad/minutes,ID1,Applied,26,23305,5,61.0,6,2686,0.0278793418647166,6.0
airalcorn2/RankNet,ID1,Applied,245,19,49,26.0,1,2842,0.0101522842639593,1.0
MaybeShewill-CV/attentive-gan-derainnet,ID1,Applied,250,366743,82,130.0,3,2373,0.0616990982439487,3.0
MaybeShewill-CV/lanenet-lane-detection,ID2,Applied,2269,61888,878,194.0,5,2431,0.0894009216589861,5.0
mhmoodlan/cyclic-learning-rate,ID1,Applied,66,40,26,20.0,1,2368,0.0110192837465564,1.0
IsaacGuan/PointNet-Plane-Detection,ID1,Applied,98,19040,25,30.0,1,2482,0.0136301681054066,1.0
zainsiddiqui/Predicting-Survival-on-Titanic-with-Machine-Learning-and-Graphical-User-Interface,ID1,Applied,13,1254,2,11.0,1,2074,0.0060672917815774,1.0
jhasuman/potholes-detection,ID1,Applied,74,1862,36,11.0,3,2340,0.0053191489361702,3.0
drscotthawley/panotti,ID2,Applied,267,1457,72,310.0,2,2867,0.1193685021178282,2.0
lukasruff/Deep-SVDD-PyTorch,ID1,Applied,670,2205,193,82.0,1,2292,0.0405739732805541,1.0
nerox8664/gluon2pytorch,ID1,Applied,72,65,8,131.0,2,2277,0.0692389006342494,2.0
kan-bayashi/PytorchWaveNetVocoder,ID2,Applied,296,431,59,384.0,2,2587,0.1691629955947136,2.0
tegg89/magnet,ID1,Applied,121,30561,29,75.0,2,2400,0.036372453928225,2.0
