ProjectName,IDPaper,ProjectType,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
youyuge34/Anime-InPainting,ID1,Applied,1069,5899,153,35.0,1,2208,0.0180133813690169,1.0
devpranoy/video_coloriser,ID1,Applied,30,999,9,20.0,2,2226,0.0129701686121919,2.0
MorvanZhou/Evolutionary-Algorithm,ID1,Applied,1175,2316,632,39.0,1,2749,0.015713134568896,1.0
stephen-song/Speech-Transformer-tf2.0,ID1,Applied,111,3141,37,20.0,1,2100,0.0116618075801749,1.0
catnlp/metaLSTM,ID1,Applied,24,1165,5,47.0,1,2466,0.0222432560340747,1.0
scikit-learn-contrib/lightning,ID1,Applied,1709,14720,213,743.0,14,4761,0.1655157050568055,14.0
YeongHyeon/R-CNN_LIGHT,ID1,Applied,66,17346,22,78.0,1,2816,0.0343461030383091,1.0
ZhenyuTan/Noise2Noise-Cryo-EM-image-denoising,ID1,Applied,40,6142,13,18.0,1,2241,0.0091649694501018,1.0
yanwii/ChineseNER,ID1,Applied,163,4294,43,11.0,1,2341,0.0053789731051344,1.0
milesgranger/gap_statistic,ID1,Applied,211,401,47,135.0,6,3195,0.0462328767123287,6.0
abhayspawar/featexp,ID1,Applied,747,5190,163,101.0,3,2321,0.0500495540138751,3.0
alexander-poon/legisPy,ID1,Applied,13,2912,1,21.0,1,2304,0.010948905109489,1.0
Shenggan/DeepCell-Keras,ID1,Applied,7,2494,6,28.0,2,2643,0.0146137787056367,2.0
yuewang-cuhk/TAKG,ID1,Applied,153,80804,33,17.0,1,2077,0.0094549499443826,1.0
cauchyturing/UCR_Time_Series_Classification_Deep_Learning_Baseline,ID1,Applied,656,1850,206,43.0,1,2991,0.0158146377344612,1.0
JGuymont/vae-anomaly-detector,ID1,Applied,67,216833,18,91.0,1,2296,0.0449826989619377,1.0
timbmg/VAE-CVAE-MNIST,ID1,Applied,554,1159,102,30.0,2,2523,0.0132860938883968,2.0
yifeitao/learn,ID1,Applied,43,190114,17,54.0,1,2816,0.0218800648298217,1.0
immortal3/MLNet-Pytorch,ID1,Applied,29,706,6,10.0,1,2262,0.005288207297726,1.0
andreasgrv/johnny,ID1,Applied,10,158,1,111.0,2,2780,0.1049149338374291,2.0
sparisi/tensorl,ID1,Applied,12,138,3,64.0,1,2606,0.0304907098618389,1.0
bmcfee/pumpp,ID1,Applied,55,340,11,346.0,5,3126,0.125,5.0
