ProjectName,IDPaper_x,ProjectType_x,Stars,Size,Forks,Commit Count,Contributors,Project Age,Activity Rate,ContributorNumber
materialsvirtuallab/megnet,ID1,Tool,482.0,169376.0,153.0,1146.0,9.0,2234.0,0.5835030549898167,9.0
mathetake/gann,ID1,Tool,77.0,92.0,9.0,91.0,2.0,2446.0,0.0416475972540045,2.0
MattFiler/LegendPlugin,ID1,Tool,235.0,1416507.0,11.0,592.0,2.0,2641.0,0.2492631578947368,2.0
mattn/go-tflite,ID1,Tool,288.0,146425.0,42.0,201.0,12.0,2149.0,0.1069148936170212,12.0
MaxHalford/eaopt,ID1,Tool,875.0,584.0,98.0,348.0,15.0,3280.0,0.1154995021573182,15.0
MaxHalford/prince,ID1,Tool,1191.0,8513.0,177.0,396.0,13.0,3015.0,0.1437908496732026,13.0
mb-14/gomarkov,ID1,Tool,368.0,1162.0,36.0,41.0,6.0,2427.0,0.0191231343283582,6.0
mbeyeler/opencv-python-blueprints,ID1,Tool,290.0,193083.0,185.0,42.0,1.0,3426.0,0.0134014039566049,1.0
mdbloice/Augmentor,ID1,Tool,5027.0,1580.0,863.0,553.0,19.0,3250.0,0.1850117096018735,19.0
medipixel/rl_algorithms,ID1,Tool,497.0,2727.0,63.0,184.0,11.0,2236.0,0.0937818552497451,11.0
medtagger/MedTagger,ID1,Tool,112.0,40524.0,23.0,587.0,7.0,2600.0,0.2510692899914457,7.0
meetshah1995/pytorch-semseg,ID1,Tool,3369.0,279.0,805.0,192.0,15.0,2864.0,0.0737610449481367,15.0
menpo/menpo,ID1,Tool,324.0,38879.0,84.0,4114.0,11.0,4288.0,1.0218579234972678,11.0
meshula/OpenSteer,ID1,Tool,296.0,1774.0,47.0,201.0,1.0,4014.0,0.0536429143314651,1.0
messense/bosonnlp-rs,ID1,Tool,11.0,26922.0,0.0,101.0,1.0,3252.0,0.036740632957439,1.0
messense/fasttext-rs,ID1,Tool,50.0,5766.0,13.0,140.0,4.0,2562.0,0.0625838176128743,4.0
metric-learn/metric-learn,ID1,Tool,1376.0,12597.0,230.0,295.0,19.0,4100.0,0.0768429278457931,19.0
mgoubran/DASH3R,ID1,Tool,29.0,20546.0,10.0,216.0,4.0,2232.0,0.1221028829847371,4.0
mhjort/aivo,ID1,Tool,28.0,17.0,6.0,18.0,1.0,2614.0,0.0078091106290672,1.0
MichaelKonobeev/adashift,ID1,Tool,16.0,2236.0,2.0,36.0,3.0,2294.0,0.0180360721442885,3.0
michhar/custom-jupyterhub-linux-vm,ID1,Tool,6.0,137.0,6.0,198.0,1.0,2521.0,0.4024390243902439,1.0
microsoft/CameraTraps,ID1,Tool,676.0,434666.0,232.0,3511.0,30.0,2296.0,1.7261553588987215,34.0
microsoft/CNTK,ID1,Tool,17469.0,935217.0,4300.0,16117.0,30.0,3346.0,5.224311183144247,188.0
microsoft/DMTK,ID1,Tool,2745.0,17.0,560.0,47.0,5.0,3364.0,0.0152994791666666,5.0
microsoft/dowhy,ID1,Tool,6766.0,613511.0,916.0,1012.0,30.0,2429.0,0.466789667896679,82.0
microsoft/LightGBM,ID1,Tool,16082.0,21730.0,3773.0,3478.0,30.0,3093.0,1.2281073446327684,292.0
microsoft/MMdnn,ID1,Tool,5781.0,37216.0,968.0,1084.0,30.0,2717.0,0.4413680781758957,66.0
microsoft/NeuronBlocks,ID1,Tool,1440.0,15583.0,191.0,120.0,11.0,2110.0,0.0649702219815917,11.0
microsoft/NimbusML,ID1,Tool,279.0,3960.0,65.0,275.0,18.0,2288.0,0.1383995973829894,18.0
microsoft/nni,ID1,Tool,13771.0,133567.0,1801.0,3012.0,30.0,2428.0,1.3899400092293492,175.0
microsoft/onnxconverter-common,ID1,Tool,227.0,56627.0,63.0,251.0,20.0,2109.0,0.1358960476448294,20.0
microsoft/Recognizers-Text,ID1,Tool,1648.0,50939.0,425.0,2044.0,30.0,2838.0,0.7934782608695652,123.0
microsoft/tensorwatch,ID1,Tool,3370.0,22253.0,355.0,119.0,14.0,2080.0,0.0654565456545654,14.0
mideind/Icegrams,ID1,Tool,11.0,180.0,3.0,80.0,3.0,2156.0,0.074074074074074,3.0
MiguelMonteiro/permutohedral_lattice,ID1,Tool,79.0,6490.0,18.0,130.0,1.0,2555.0,0.0570175438596491,1.0
miguelmota/sobel,ID1,Tool,97.0,2439.0,32.0,33.0,3.0,3515.0,0.0102707749766573,3.0
milesgranger/pyrus-nn,ID1,Tool,15.0,72.0,0.0,56.0,2.0,2178.0,0.0306345733041575,2.0
MingtaoGuo/DCGAN_WGAN_WGAN-GP_LSGAN_SNGAN_RSGAN_BEGAN_ACGAN_PGGAN_TensorFlow,ID1,Tool,218.0,2230.0,56.0,83.0,1.0,2396.0,0.0389488503050211,1.0
mir-am/LightTwinSVM,ID1,Tool,11.0,1427.0,7.0,187.0,1.0,2442.0,0.0960945529290853,1.0
MisaOgura/flashtorch,ID1,Tool,722.0,72119.0,89.0,127.0,2.0,2134.0,0.0679507758159443,2.0
mit-nlp/MITIE,ID1,Tool,2904.0,10957.0,537.0,5158.0,22.0,3950.0,1.400869092884302,22.0
mkearney/textfeatures,ID1,Tool,166.0,8008.0,16.0,151.0,4.0,2522.0,0.067350579839429,4.0
ml5js/ml5-library,ID1,Tool,6364.0,382448.0,906.0,2454.0,30.0,2669.0,1.019102990033223,84.0
mlajtos/L1,ID1,Tool,187.0,12549.0,22.0,463.0,1.0,2467.0,0.2098821396192203,1.0
mljs/matrix,ID1,Tool,343.0,4789.0,57.0,401.0,30.0,3747.0,0.1153956834532374,33.0
